room_id,image_url
1,https://i.picsum.photos/id/22/400/400.jpg?hmac=Id8VAtx7v59BrMxVGFbHMrf-93mskILQzmMJ__Tzww8
1,https://i.picsum.photos/id/360/400/400.jpg?hmac=sDYkXXrqwXxTJvE4PRW4b1Fa5Zb_iN8W-_rnmT6BNiQ
1,https://i.picsum.photos/id/82/400/400.jpg?hmac=mnzoWz2nFlGaIdgcSB91pz-Ue7n8erTouqV_pYNzdqI
1,https://i.picsum.photos/id/452/400/400.jpg?hmac=ERBYjvlNNqVzMZSKK2czOgTP2QRPe8PQiOLvHTsNCsE
1,https://i.picsum.photos/id/441/400/400.jpg?hmac=YiLRV_W4e6CP_PkGMI2GvXgHT6-StANxTj4xmACicwE
2,https://i.picsum.photos/id/526/400/400.jpg?hmac=xHr3rm3ZRqdywE4keCVSUIxeA4S8HacHXP333SgOcaw
2,https://i.picsum.photos/id/110/400/400.jpg?hmac=OGcxURhvyXIWGH9fOilAJH4FZJv4yJhXHPayI6wsAbU
3,https://i.picsum.photos/id/452/400/400.jpg?hmac=ERBYjvlNNqVzMZSKK2czOgTP2QRPe8PQiOLvHTsNCsE
3,https://i.picsum.photos/id/701/400/400.jpg?hmac=iI1WV0a4BTQxYbDUoC3sF7jQj69yLC7tU_sPWRRbcq0
4,https://i.picsum.photos/id/78/400/400.jpg?hmac=rB37rkCoMgFDoAnto1ud8ZJGtaHlm8iSG4alH2HN6JA
4,https://i.picsum.photos/id/517/400/400.jpg?hmac=saNFvNf3vMRHmDc_VH1_2whNv3g560-k5mBUDu48PXI
4,https://i.picsum.photos/id/497/400/400.jpg?hmac=rwvGdLpC3L-hNO0hiqu7xqqDSaOV_6WJp48d2fh1gHA
4,https://i.picsum.photos/id/701/400/400.jpg?hmac=iI1WV0a4BTQxYbDUoC3sF7jQj69yLC7tU_sPWRRbcq0
5,https://i.picsum.photos/id/827/400/400.jpg?hmac=iujkw896bd91cru4AzmSUkqbVQI5t6AKxajPGGJxXTw
5,https://i.picsum.photos/id/1069/400/400.jpg?hmac=0InS62rv4-eJnpW71VJgElP6nbWJnoUT5hfwmZJCTd8
